"timestamp","acoustic.a1.L10_A","acoustic.a1.L10_Z","acoustic.a1.Leq_A","acoustic.a1.Leq_Z","acoustic.a2.L10_A","acoustic.a2.L10_Z","acoustic.a2.Leq_A","acoustic.a2.Leq_Z","meteo.a3.Hum","meteo.a3.Patm","meteo.a3.Rain","meteo.a3.Temp","meteo.a3.Wind_Dir","meteo.a4.Hum","meteo.a4.Patm","meteo.a4.Rain","meteo.a4.Temp","meteo.a4.Wind_Dir","meteo.lidar.Fog","meteo.lidar.Hum","meteo.lidar.Patm","meteo.lidar.Rain","meteo.lidar.Temp","meteo.s1.H","meteo.s1.Moy_T","meteo.s1.Wind_Dir","meteo.s1.Wind_Speed","meteo.s2.H","meteo.s2.Moy_T","meteo.s2.Wind_Dir","meteo.s2.Wind_Speed"
2020-07-22 03:50:00,45.13,59.62,46.91,62.12,34.15,53.92,37.59,56.78,63.5975,1006.01,0,13.1986,25.9944,,,,,,0,62.3636111111111,1006.54722222222,0,13.7716666666667,-56.70575154415,14.3214472789116,269.153203488417,6.35406860951246,"nan",13.9466666666667,285.844282853581,3.26584833534397
2020-07-22 04:00:00,44.93,59.46,46.55,61.48,34.98,53.79,40.81,56.53,64.4978,1005.87,0,13.0998,10.9977,,,,,,0,60.8247058823529,1006.52941176471,0,14.6611764705882,-56.3831462286336,14.1625033333333,265.218610644712,6.70306922227219,"nan",13.439,283.252782194723,2.75398673651047
2020-07-22 04:10:00,43.25,58.63,45.39,60.64,35.22,52.96,38.76,55.29,64.7999,1005.87,0,13.0998,27.994,,,,,,5.88235294117647,58.6397058823529,1006.50294117647,0,14.8652941176471,-83.6407231211857,14.02425,266.685571387628,5.94637929739971,"nan",13.2517647058824,281.567078610497,2.49249678289103
2020-07-22 04:20:00,42.08,57.51,43.52,59.74,36.74,53.21,44.27,56.27,63.9973,1005.87,0,13.2994,11.9974,,,,,,0,57.402,1006.54571428571,0,14.934,-71.5080245937187,13.9111208333333,268.289128674536,5.35865835104231,"nan",12.7916666666667,281.481244991883,2.41723205295997
2020-07-22 04:30:00,43.45,58.8,45.21,60.99,37.62,54.14,46.02,57.37,63.8997,1005.87,0,13.1986,6.9985,,,,,,0,56.9402857142857,1006.42,0,15.2657142857143,-69.7683134433368,13.7352966666667,266.397971094608,5.36465730643771,"nan",12.5045,278.008590018083,2.24330608983177
2020-07-22 04:40:00,44.08,59.1,45.81,61.48,38.51,54.21,43.59,57.04,64.5985,1005.74,0,12.9991,39.9915,,,,,,0,55.8452941176471,1006.4,0,15.6926470588235,-60.9149900621936,13.6237016666667,268.775873886337,5.12615528654884,"nan",12.3541176470588,279.545612835152,2.3155332090692
2020-07-22 04:50:00,42.77,58.32,44.43,61.43,37.22,54.06,43.79,58.08,65.2974,1005.74,0,12.7995,352.991,,,,,,0,55.0469444444444,1006.38333333333,0,16.2127777777778,-87.6189557514537,13.5403577512777,269.579874208578,4.94220211048848,"nan",12.1906060606061,279.40785465258,2.20990372323378
2020-07-22 05:00:00,42.11,58.01,43.95,60.85,36.95,53.72,46.74,57.56,65.7979,1005.74,0,12.5999,348.991,,,,,,0,53.7467647058824,1006.34411764706,0.117647058823529,16.6914705882353,-69.9023534048771,13.5079783333333,269.463527934998,4.8789705989619,"nan",11.989375,278.86212305771,2.12431392635431
2020-07-22 05:10:00,41.13,56.82,43.02,59.51,36.69,52.66,45.15,57.76,66.5975,1005.61,0,12.3984,23.9949,,,,,,0,52.0938235294118,1006.43235294118,0,16.8767647058824,-71.1740292793085,13.4711516666667,270.538068781457,5.02559461995307,"nan",11.8694339622642,278.649208916399,2.24950844789642
2020-07-22 05:20:00,41.18,56.24,42.78,59.11,36.64,51.99,44.01,56.06,66.7989,1005.61,0,12.3984,23.9949,,,,,,0,51.4557142857143,1006.68857142857,0,17.1751428571429,-86.277648537404,13.3270691666667,270.602824003257,5.38630241865189,"nan",11.5283333333333,280.809373089488,2.260987116602
2020-07-22 05:30:00,40.29,55.72,42.67,59.75,35.69,51.97,42.69,57.11,66.8996,1005.48,0,12.2996,4.99893,,,,,,0,50.5351428571429,1006.77142857143,0,18.026,-94.1208147320238,13.3223391666667,274.926876520375,5.30252315407767,"nan",11.974375,284.85689373183,2.50540989020596
2020-07-22 05:40:00,40.04,56.06,41.45,59.86,36.09,52.57,43.64,57.61,67.2994,1005.35,0,12.1989,31.9932,,,,,,0,48.1491176470588,1006.67058823529,0,18.9361764705882,-113.595142896795,13.3444075,277.412382011024,5.12843256845217,"nan",12.259375,286.102207202839,2.65190313766462
2020-07-22 05:50:00,39.62,56.2,41.84,61.67,35.33,51.5,42.68,58.22,68.1997,1005.22,0,11.9993,353.99,,,,,,0,46.2045714285714,1006.73142857143,0,19.6628571428571,-87.2830133027517,13.2250240137221,274.834684948056,4.84008820135764,"nan",12.3347058823529,286.281348432312,2.48070290579577
2020-07-22 06:00:00,40.09,57.36,45.41,65.01,36.65,53.02,43.92,61.55,68.5995,1005.22,0,11.7997,83.993,,,,,,0,44.9914285714286,1006.62571428571,0,19.6362857142857,-69.6179292275642,13.0735208333333,272.901891311844,4.82323803355528,"nan",11.755,283.30277943382,1.88900252972999
2020-07-22 06:10:00,40.3,57.54,42.66,65.72,38.62,55.18,49.69,67.98,69.6982,1005.35,0,11.4994,352.991,,,,,,0,45.1991176470588,1006.55,0,19.7785294117647,-43.6247471492539,13.0116908333333,270.078833464455,4.88539617234632,"nan",11.3557731958763,278.785969401106,1.89238702756005
2020-07-22 06:20:00,39.98,56.5,42.26,67.12,38.6,56.31,43.92,69.72,70.2994,1005.48,0,11.4994,2.99936,,,,,,0,44.7045714285714,1006.55428571429,0,20.8002857142857,-47.6576501922673,12.8973791666667,269.493742765098,4.42164216491547,"nan",11.1092307692308,277.275493604829,1.71051787213647
2020-07-22 06:30:00,41,57.21,43.69,68.36,39.95,60.76,48.91,72.82,69.8996,1005.48,0,11.4994,13.997,,,,,,0,42.2577142857143,1006.54571428571,0,21.292,-56.6796713921883,12.7646083333333,279.05391382626,3.96040762139684,"nan",11.2536363636364,281.650674690042,1.78366713320547
2020-07-22 06:40:00,41.39,57.61,44.06,68.97,39.83,58.89,44.79,71.88,69.4998,1005.35,0,11.699,10.9977,,,,,,0,41.5432352941177,1006.50882352941,0,21.3582352941176,-69.3760104843732,12.6218616666667,268.03615107702,5.21656862721174,"nan",11.0289285714286,275.929774462761,1.90923836764211
2020-07-22 06:50:00,39.79,56.2,46.27,68.27,38.49,55.4,43.25,71.46,69.9973,1005.22,0,11.699,15.9966,,,,,,0,41.6214285714286,1006.57428571429,0,21.4385714285714,-42.6502132581699,12.4346160409556,261.877812755394,5.61084497384147,"nan",11.3564242424242,270.952521873021,1.91368398885129
2020-07-22 07:00:00,39.86,56.16,44.75,68.08,38.04,59.8,42.91,71.28,69.2984,1005.22,0,11.9993,21.9953,,,,,,0,40.3435294117647,1006.51764705882,0,22.0470588235294,-54.599709118029,12.5519908333333,273.30962891089,4.16724100118585,"nan",11.8792,281.963495079034,1.96317834540271
2020-07-22 07:10:00,41.02,58.15,44.72,70.76,38.56,61.17,43.31,72.87,67.2994,1005.35,0,12.4992,9.99786,,,,,,0,40.0077142857143,1006.49428571429,0,22.7582857142857,-29.4643605583627,12.658095,270.528659000674,3.93538643571581,"nan",12.2084375,278.750899835727,1.67598189760001
2020-07-22 07:20:00,38.74,54.64,41.7,66.08,35.97,59.57,40.91,69.3,67.4978,1005.48,0,12.3984,11.9974,,,,,,0,38.7988571428571,1006.55142857143,0,23.3222857142857,-20.5462607046513,12.7009391666667,275.358138622722,3.45741607055935,"nan",12.35,284.787520101889,1.97421448887761
