mast,acoustic,acoustic,acoustic,acoustic,acoustic,EDF,EDF,EDF,EDF,EDF,EDF,EDF,EDF,EDF,EDF,EDF,EDF,EDF,EDF,EDF,EDF,EDF,EDF,EDF,Sonic 1,Sonic 1,Sonic 1,Sonic 1,Sonic 1,Sonic 1,Sonic 1,Sonic 1,Sonic 1,Sonic 2,Sonic 2,Sonic 2,Sonic 2,Sonic 2,Sonic 2,Sonic 2,Sonic 2,Sonic 2,Sonic 2,Sonic 2,Sonic 2,Sonic 2,Sonic 2,Sonic 2,Sonic 2,Sonic 2,Sonic 2,LIDAR,LIDAR,LIDAR,LIDAR,LIDAR,LIDAR,LIDAR,LIDAR,LIDAR
name,a1,a2,a3,a4,a5,mat_TA1,mat_TA2,mat_TA3,mat_TA4,mat_DV1,mat_DV2,mat_VV1,mat_VV2,mat_VV3,mat_gradT,mat_gradVV,mât_gradc,mat_H1,mat_H2,mat_H3,mat_H4,mat_Pl,mat_Pr,???,S1_TKE,S1_Tstar,S1_Ustar,S1_LMO,S1_DV,S1_VV,S1_gradT,S1_gradVV,S1_gradc,S2_TKE,S2_Tstar,S2_Ustar,S2_LMO,S2_DV,S2_VV,S2_gradT,S2_gradVV,S2_gradc,S3_TKE,S3_Tstar,S3_Ustar,S3_LMO,S3_DV,S3_VV,S3_gradT,S3_gradVV,S3_gradc,LID_VV1,LID_VV2,LID_VV3,LID_VV4,etc.,S3_gradVV,S3_gradc,mat_H,mat_P
height (m),4.0,5.0,6.0,7.0,8.0,6,20,60,78,70,80,35,75,80,bout de pâle inf ?35 ?,bout de pâle inf ?35 ?,bout de pâle inf ?35 ?,6,20,60,78,6,6,,10,10,10,10,10,10,10,10,10,50,50,50,50,50,50,50,50,50,80,80,80,80,80,80,80,80,80,,,,,,,,1,1
coord. GPS,"48.228778, 1.531194 (48°13'43.6""N 1°31'52.3""E)","48.226278, 1.543472 (48°13'34.6""N 1°32'36.5""E)","48.216, 1.554(48°12'57.6""N 1°33'14.4""E)","48.228778, 1.531167 (48°13'43.6""N 1°31'52.2""E)","48.236, 1.551694 (48°14'9.6""N 1°33'6.1""E)","48.222247, 1.52565 (48°13'20.1""N 1°31'32.4""E)","48.222247, 1.52565 (48°13'20.1""N 1°31'32.4""E)","48.222247, 1.52565 (48°13'20.1""N 1°31'32.4""E)","48.222247, 1.52565 (48°13'20.1""N 1°31'32.4""E)","48.222247, 1.52565 (48°13'20.1""N 1°31'32.4""E)","48.222247, 1.52565 (48°13'20.1""N 1°31'32.4""E)","48.222247, 1.52565 (48°13'20.1""N 1°31'32.4""E)","48.222247, 1.52565 (48°13'20.1""N 1°31'32.4""E)","48.222247, 1.52565 (48°13'20.1""N 1°31'32.4""E)","48.222247, 1.52565 (48°13'20.1""N 1°31'32.4""E)","48.222247, 1.52565 (48°13'20.1""N 1°31'32.4""E)","48.222247, 1.52565 (48°13'20.1""N 1°31'32.4""E)","48.222247, 1.52565 (48°13'20.1""N 1°31'32.4""E)","48.222247, 1.52565 (48°13'20.1""N 1°31'32.4""E)","48.222247, 1.52565 (48°13'20.1""N 1°31'32.4""E)","48.222247, 1.52565 (48°13'20.1""N 1°31'32.4""E)","48.222247, 1.52565 (48°13'20.1""N 1°31'32.4""E)","48.222247, 1.52565 (48°13'20.1""N 1°31'32.4""E)","48.222247, 1.52565 (48°13'20.1""N 1°31'32.4""E)",,,,,,,,,,,,,,,,,,,,,,,,,,,,"48.22224, 1.52545 (48°13'20.064""N 1°31'31.619""E)","48.22224, 1.52545 (48°13'20.064""N 1°31'31.619""E)","48.22224, 1.52545 (48°13'20.064""N 1°31'31.619""E)","48.22224, 1.52545 (48°13'20.064""N 1°31'31.619""E)","48.22224, 1.52545 (48°13'20.064""N 1°31'31.619""E)","48.22224, 1.52545 (48°13'20.064""N 1°31'31.619""E)","48.22224, 1.52545 (48°13'20.064""N 1°31'31.619""E)","48.22224, 1.52545 (48°13'20.064""N 1°31'31.619""E)","48.22224, 1.52545 (48°13'20.064""N 1°31'31.619""E)"
type ,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,WAISALA,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,Young,Young,Young,Young,Young,Young,Young,Young,Young,Young,Young,Young,Young,Young,Young,ZX_300,ZX_300,ZX_300,ZX_300,ZX_300,ZX_300,ZX_300,ZX_300,ZX_300
